Date,total_quantity_sold,total_discount_amount,promo_line_count,stacked_promo_count,total_orders,cancelled_orders,delivered_orders,returned_orders,orders_device_desktop,orders_device_mobile,orders_device_tablet,orders_source_direct,orders_source_email_campaign,orders_source_organic_search,orders_source_paid_search,orders_source_referral,orders_source_social_media,total_payment_value,avg_payment_value,avg_installments,active_promo_count,avg_discount_value,has_any_promo,return_count,total_refund_amount,review_count,avg_rating,revenue,cogs,shipment_count,avg_delivery_days,avg_shipping_fee,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec
2012-07-04,777,0.0,0,0,162,9,134,11,67,69,26,9,14,52,30,16,41,5123547.94,31626.83913580247,3.7901234567901234,,,,,,,,5123547.94,3982991.19,33.0,4.333333333333333,4.78060606060606,,,,,
2012-07-05,428,0.0,0,0,97,9,81,5,43,38,16,6,11,26,18,9,27,2751773.45,28368.798453608248,3.917525773195876,,,,,,,,2751773.45,2150580.23,45.0,4.444444444444445,3.838888888888889,,,,,
2012-07-06,441,0.0,0,0,93,11,69,7,42,42,9,10,12,28,23,7,13,3054029.42,32839.02602150538,4.139784946236559,,,,,,,,3054029.42,2517632.84,94.0,4.5638297872340425,3.1079787234042553,,,,,
2012-07-07,364,0.0,0,0,73,8,55,6,26,34,13,2,13,20,15,12,11,2667930.94,36546.99917808219,2.904109589041096,,,,,,,,2667930.94,2108246.62,92.0,4.336956521739131,3.571521739130435,,,,,
2012-07-08,394,0.0,0,0,88,5,67,8,30,45,13,7,11,22,18,2,28,2360851.9,26827.8625,3.465909090909091,,,,,,,,2360851.9,1808622.79,78.0,4.730769230769231,5.489487179487179,,,,,
2012-07-09,730,0.0,0,0,137,20,106,8,52,61,24,13,10,33,29,12,40,3548386.46,25900.631094890512,3.2262773722627736,,,,,,,,3548386.46,2787841.68,86.0,4.313953488372093,4.705232558139534,,,,,
2012-07-10,928,0.0,0,0,183,18,137,9,72,82,29,18,20,63,44,12,26,5234938.62,28606.221967213114,3.4918032786885247,,,,,,1.0,5.0,5234938.62,4044438.84,112.0,4.25,3.7223214285714286,,,,,
2012-07-11,1097,0.0,0,0,221,16,180,13,77,112,32,12,22,70,45,21,51,5582884.78,25261.922081447967,3.16289592760181,,,,1.0,6493.75,,,5582884.78,4338313.07,136.0,4.4411764705882355,4.20125,,,,,
2012-07-12,1241,0.0,0,0,246,20,200,7,102,101,43,21,38,68,49,25,45,5734632.02,23311.512276422764,3.4390243902439024,,,,1.0,4834.0,1.0,5.0,5734632.02,4458811.27,165.0,4.363636363636363,4.279212121212121,,,,,
2012-07-13,995,0.0,0,0,201,18,163,6,78,99,24,14,27,49,51,18,42,5309511.71,26415.48114427861,3.288557213930348,,,,,,2.0,4.5,5309511.71,4143402.78,169.0,4.3076923076923075,4.601656804733728,,,,,
