column_name,value,count
city,Cam Pha,1403
city,Phu Ly,1399
city,Thai Nguyen,1394
city,Hanoi,1376
city,Nam Dinh,1370
city,Ha Long,1357
city,Bac Giang,1347
city,Hai Phong,1346
city,Bac Ninh,1346
city,Son Tay,1344
region,East,18929
region,Central,14512
region,West,6507
district,District #25,1597
district,District #30,1518
district,District #19,1513
district,District #24,1511
district,District #07,1492
district,District #21,1459
district,District #32,1459
district,District #01,1337
district,District #33,1326
district,District #23,1210
