column_name,value,count
product_name,vietmode rp-09,203
product_name,vietmode rp-10,203
product_name,vietmode rp-12,190
product_name,vietmode rp-11,190
product_name,vietmode rp-33,170
product_name,vietmode rp-34,170
product_name,vietmode rp-35,166
product_name,vietmode rp-36,166
product_name,saigonflex uc-55,153
product_name,vietmode rp-83,140
category,streetwear,31020
category,outdoor,21050
category,genz,4674
category,casual,3503
segment,activewear,18290
segment,everyday,13598
segment,performance,7673
segment,balanced,6622
segment,trendy,4674
segment,premium,3182
segment,standard,3127
segment,all-weather,3081
