column_name,value,count
order_status,delivered,516716
order_status,cancelled,59462
order_status,returned,36142
order_status,shipped,13773
order_status,paid,13577
order_status,created,7275
payment_method,credit_card,356352
payment_method,paypal,97018
payment_method,cod,96681
payment_method,apple_pay,64763
payment_method,bank_transfer,32131
device_type,mobile,291482
device_type,desktop,258855
device_type,tablet,96608
order_source,organic_search,181495
order_source,paid_search,141652
order_source,social_media,129710
order_source,email_campaign,77572
order_source,referral,64565
order_source,direct,51951
