column_name,value,count
product_name,VietMode RP-29,3
product_name,VietMode RP-14,3
product_name,VietMode RP-45,3
product_name,VietMode RP-44,3
product_name,VietMode RP-43,3
product_name,VietMode RP-42,3
product_name,VietMode RP-41,3
product_name,VietMode RP-40,3
product_name,VietMode RP-39,3
product_name,VietMode RP-17,3
category,streetwear,1320
category,outdoor,743
category,casual,201
category,genz,148
segment,activewear,598
segment,everyday,405
segment,performance,347
segment,balanced,306
segment,standard,262
segment,premium,177
segment,all-weather,169
segment,trendy,148
size,S,603
size,M,603
size,L,603
size,XL,603
color,black,242
color,orange,242
color,green,241
color,silver,241
color,pink,241
color,yellow,241
color,red,241
color,blue,241
color,white,241
color,purple,241
