column_name,value,count
review_id,REV-0000001,1
review_id,REV-0000022,1
review_id,REV-0000006,1
review_id,REV-0000008,1
review_id,REV-0000009,1
review_id,REV-0000010,1
review_id,REV-0000011,1
review_id,REV-0000012,1
review_id,REV-0000013,1
review_id,REV-0000018,1
review_title,very satisfied,11450
review_title,highly recommend,11407
review_title,great quality,11218
review_title,excellent product!,11181
review_title,good overall,9185
review_title,happy with purchase,9171
review_title,solid choice,9070
review_title,works well,8986
review_title,mixed feelings,5706
review_title,average product,5656
